이름,주소,전화번호,번호구분,위도,경도,이미지URL,비고
강화도령 화문석 체험장,인천광역시 강화군 송해면 강화대로 891-10,032-934-4351,개별 문의처,37.76211323,126.4657266,http://tong.visitkorea.or.kr/cms/resource/31/2672631_image2_1.jpg,"추가연락가능번호 : 031-940-5282, 031-940-5283"
강화도제적봉 평화전망대,인천광역시 강화군 양사면 전망대로 797,032-930-7062,개별 문의처,37.82643627,126.4330211,http://tong.visitkorea.or.kr/cms/resource/31/2657531_image2_1.jpg,
강화루지(강화씨사이드리조트),인천광역시 강화군 길상면 장흥로 217,032-930-9000,개별 문의처,37.61712205,126.4981148,,
강화산성,인천광역시 강화군 강화읍 국화리 산3번지,032-930-7071,지자체 대표번호,37.75561293,126.4774256,http://tong.visitkorea.or.kr/cms/resource/34/1579234_image2_1.jpg,
강화오상리고인돌군,인천광역시 강화군 내가면 강화서로416번길 53-37,032-930-3893,개별 문의처,37.73151872,126.3950893,http://tong.visitkorea.or.kr/cms/resource/24/2780924_image2_1.png,
강화유수부동헌,인천광역시 강화군 강화읍 북문길 42,032-930-7071,지자체 대표번호,37.75082074,126.4853901,http://tong.visitkorea.or.kr/cms/resource/46/1575646_image2_1.jpg,
강화유수부이방청,인천광역시 강화군 강화읍 북문길 42,032-930-7071,지자체 대표번호,37.75082074,126.4853901,http://tong.visitkorea.or.kr/cms/resource/46/1575646_image2_1.jpg,
강화전적지,인천광역시 강화군 강화읍 해안동로1366번길 18,032-930-7071,지자체 대표번호,37.73357897,126.5159972,http://tong.visitkorea.or.kr/cms/resource/19/688619_image2_1.jpg,
강화해수랜드,인천광역시 강화군 길상면 해안남로 13-12,032-937-1400,개별 문의처,37.59142726,126.460678,,
강화향교,인천광역시 강화군 강화읍 향교길 58,032-930-3621,지자체 대표번호,37.75364878,126.4787527,http://tong.visitkorea.or.kr/cms/resource/54/1575654_image2_1.jpg,
건평항,인천광역시 강화군 양도면 건평리 623-16,032-930-3562,지자체 대표번호,37.68228188,126.4027783,http://tong.visitkorea.or.kr/cms/resource/02/2780102_image2_1.png,
계룡돈대,인천광역시 강화군 내가면 황청리,032-930-7071,지자체 대표번호,37.71736498,126.3601149,http://tong.visitkorea.or.kr/cms/resource/28/1579328_image2_1.jpg,
고려궁지,인천광역시 강화군 강화읍 북문길 42,032-930-7071,지자체 대표번호,37.75082074,126.4853901,http://tong.visitkorea.or.kr/cms/resource/46/1575646_image2_1.jpg,
고려산,인천광역시 강화군 내가면 고천리,032-930-3627,지자체 대표번호,37.7211135,126.4028024,http://tong.visitkorea.or.kr/cms/resource/07/2003407_image2_1.jpg,
고려천도공원,인천광역시 강화군 송해면 당산리 388-7,032-930-3580,지자체 대표번호,37.80107552,126.4572969,http://tong.visitkorea.or.kr/cms/resource/86/2780186_image2_1.png,
광성보,인천광역시 강화군 불은면 해안동로466번길 27,032-930-7070,지자체 대표번호,37.66478547,126.5299319,http://tong.visitkorea.or.kr/cms/resource/82/2363682_image2_1.jpg,
교동도(강화),인천광역시 강화군 교동면 교동남로 35,032-930-4500,지자체 대표번호,37.78048938,126.2810496,,
교동도선착장대합실,인천광역시 강화군 교동면 교동남로 466,032-930-3124,개별 문의처,37.77491332,126.3170631,http://tong.visitkorea.or.kr/cms/resource/96/2780196_image2_1.png,
교동읍성,인천광역시 강화군 교동면 읍내리 577,032-930-4500,지자체 대표번호,37.76952427,126.2953745,http://tong.visitkorea.or.kr/cms/resource/39/2780239_image2_1.jpg,
교동제비집,인천광역시 강화군 교동면 교동남로 20-1,032-934-1000,개별 문의처,37.77089763,126.2972973,,
교동향교,인천광역시 강화군 교동면 교동남로 229-49,032-930-3621,지자체 대표번호,37.77089763,126.2972973,http://tong.visitkorea.or.kr/cms/resource/79/1989979_image2_1.jpg,
난정리 전망대,인천광역시 강화군 교동면 난정리 729,032-930-3061,개별 문의처,37.77628801,126.2296572,,
난정리해바라기마을정원,인천광역시 강화군 교동면 난정리 741-3,032-899-7300,개별 문의처,37.77713285,126.2347636,http://tong.visitkorea.or.kr/cms/resource/62/2780262_image2_1.png,
난정저수지,인천광역시 강화군 교동면 난정리,032-930-4501,개별 문의처,37.77713285,126.2347636,,
남산포 선착장,인천광역시 강화군 교동면 읍내리 698,032-930-4500,지자체 대표번호,37.76583737,126.2949313,,
대한성공회 강화성당,인천광역시 강화군 강화읍 관청길27번길 10,032-934-6171,개별 문의처,37.74841147,126.4860896,,
도래미마을,인천광역시 강화군 선원면 해안동로 1129-19,032-934-4994,개별 문의처,37.6802345,126.5174777,http://tong.visitkorea.or.kr/cms/resource/49/2630949_image2_1.bmp,
"동검도(나들길,캠핑,예술극장)",인천광역시 강화군 길상면 동검길63번길 60,032-937-0125,지자체 대표번호,37.59130952,126.5183881,http://tong.visitkorea.or.kr/cms/resource/07/2661507_image2_1.jpg,
동검선착장,인천광역시 강화군 길상면 동검길65번길 91-9,032-930-3562,지자체 대표번호,37.58705881,126.5197469,,
리안월드핫스프링빌리지,인천광역시 강화군 삼산면 삼산남로 411,032-930-7050,개별 문의처,37.66302792,126.3553339,http://tong.visitkorea.or.kr/cms/resource/08/2781308_image2_1.png,
마니산(강화),인천광역시 강화군 화도면 마니산로675번길 18,032-930-7068,개별 문의처,37.63245891,126.4237971,http://tong.visitkorea.or.kr/cms/resource/74/1659674_image2_1.jpg,
망양돈대,인천광역시 강화군 내가면 해안서로,032-930-7071,지자체 대표번호,37.68183844,126.3954949,http://tong.visitkorea.or.kr/cms/resource/22/1579322_image2_1.jpg,추가연락가능번호 : 033-480-2230(양구군청)
망월돈대 및 장성,인천광역시 강화군 하점면 망월리 2107번지,032-930-7071,지자체 대표번호,37.74166418,126.3553922,http://tong.visitkorea.or.kr/cms/resource/96/2780296_image2_1.JPG,
망향대,인천광역시 강화군 교동면,032-930-4500,지자체 대표번호,37.78452858,126.2830148,,
무태돈대,인천광역시 강화군 하점면 창후로,032-930-7071,지자체 대표번호,37.76211383,126.3673781,http://tong.visitkorea.or.kr/cms/resource/40/1579340_image2_1.jpg,
미타임강화,인천광역시 강화군 강화서로 780,032-934-8899,개별 문의처,37.76322669,126.3840471,http://tong.visitkorea.or.kr/cms/resource/37/2949737_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
민머루해변,인천광역시 강화군 삼산면 어류정길212번길,032-930-3562,지자체 대표번호,37.65321605,126.3301435,http://tong.visitkorea.or.kr/cms/resource/93/2363693_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
백련사(강화),인천광역시 강화군 하점면 고려산로61번길 270,032-933-5082,개별 문의처,37.75100917,126.4384141,http://tong.visitkorea.or.kr/cms/resource/72/1577272_image2_1.jpg,
보문사(강화),인천광역시 강화군 삼산남로828번길 44 보문사,032-933-8271,개별 문의처,37.68868904,126.3210157,http://tong.visitkorea.or.kr/cms/resource/48/1990048_image2_1.jpg,
볼음도(저어새 생태마을),인천광역시 강화군 서도면 볼음도리 595-1,032-932-4591,개별 문의처,37.67092542,126.1910704,http://tong.visitkorea.or.kr/cms/resource/51/2674851_image2_1.jpg,
분오리돈대,인천광역시 강화군 화도면,032-930-7071,지자체 대표번호,37.63167484,126.4198367,http://tong.visitkorea.or.kr/cms/resource/51/1579151_image2_1.jpg,
삼랑성(정족산성),인천광역시 강화군 길상면 온수리,032-930-7071,지자체 대표번호,37.64134564,126.4837682,http://tong.visitkorea.or.kr/cms/resource/32/1577832_image2_1.jpg,
장구너머항,인천광역시 강화군 삼산면 매음리 1048-16,032-930-3562,지자체 대표번호,37.66998231,126.3432028,,
석모도,인천광역시 강화군 삼산면 삼산북로 9,031-940-9400,지자체 대표번호,37.69342745,126.3670916,http://tong.visitkorea.or.kr/cms/resource/09/2674909_image2_1.jpg,
석모도 미네랄 온천,인천광역시 강화군 삼산면 삼산남로 865-17,032-930-7052,개별 문의처,37.67364385,126.3381127,http://tong.visitkorea.or.kr/cms/resource/92/2490892_image2_1.JPG,
석모도 수목원,인천광역시 강화군 삼산면 삼산북로449번길 161,032-930-7045,개별 문의처,37.69124877,126.3264377,http://tong.visitkorea.or.kr/cms/resource/31/2490931_image2_1.JPG,
석모도 자연휴양림,인천광역시 강화군 삼산면 삼산서로 39-75,032-932-1100,개별 문의처,37.70594459,126.2987431,http://tong.visitkorea.or.kr/cms/resource/23/2490923_image2_1.JPG,
석포리선착장,인천광역시 강화군 삼산면 삼산북로 4,032-930-3366,개별 문의처,37.6938343,126.3672223,http://tong.visitkorea.or.kr/cms/resource/56/2791356_image2_1.jpg,
소창체험관,인천광역시 강화군 강화읍 남문안길20번길 8,032-934-2500,개별 문의처,37.74569124,126.4848387,http://tong.visitkorea.or.kr/cms/resource/04/2609104_image2_1.bmp,"추가연락가능번호 : 031-940-5282, 031-940-5283"
양헌수승전비,인천광역시 강화군 길상면 온수리,032-930-3621,지자체 대표번호,37.64134564,126.4837682,http://tong.visitkorea.or.kr/cms/resource/32/1577832_image2_1.jpg,
어류정항,인천광역시 강화군 삼산면 어류정길177번길 117,032-930-3562,지자체 대표번호,37.64539989,126.3433489,,
연등국제선원,인천광역시 강화군 길상면 강화동로 349-60,032-937-7033,개별 문의처,37.68132896,126.4823677,http://tong.visitkorea.or.kr/cms/resource/25/2512625_image2_1.jpg,
연무당 옛터,인천광역시 강화군 강화읍 국화리,032-930-7071,지자체 대표번호,37.74358227,126.4608847,http://tong.visitkorea.or.kr/cms/resource/52/2512552_image2_1.jpg,
연미정,인천광역시 강화군 강화읍 월곳리 242,032-930-7071,지자체 대표번호,37.77091922,126.5119091,http://tong.visitkorea.or.kr/cms/resource/08/2849208_image2_1.jpg,
연산군유배지,인천광역시 강화군 교동면 교동동로471번길 6-62,032-930-4500,지자체 대표번호,37.78646265,126.2844103,http://tong.visitkorea.or.kr/cms/resource/59/2780659_image2_1.jpg,
오읍약수터,인천광역시 강화군 북문길 110 오읍약수터,032-930-3627,지자체 대표번호,37.75519741,126.4844209,,
옥토끼우주센터,인천광역시 강화군 불은면 강화동로 403,032-937-6917,개별 문의처,37.67414288,126.4873082,http://tong.visitkorea.or.kr/cms/resource/71/1575771_image2_1.jpg,
외포리선착장,인천광역시 강화군 내가면 해안서로 883,032-932-6619,개별 문의처,37.70041811,126.3814219,,
용진진,인천광역시 강화군 선원면 연리,032-930-7071,지자체 대표번호,37.70311407,126.506854,http://tong.visitkorea.or.kr/cms/resource/47/1579047_image2_1.jpg,
용흥궁,인천광역시 강화군 강화읍 동문안길21번길 16-1,032-930-7071,지자체 대표번호,37.74765697,126.4858958,http://tong.visitkorea.or.kr/cms/resource/40/1575640_image2_1.jpg,
우공책방,인천광역시 강화군 내가면 연촌길 77-10,031-980-3200,개별 문의처,37.7321931,126.4149589,,
이건창 생가,인천광역시 강화군 화도면 해안남로1114번길 6,032-930-3621,지자체 대표번호,37.61645063,126.4567111,,
이섭정,인천광역시 강화군 강화읍 갑곳리,032-930-3621,지자체 대표번호,37.73913513,126.5044006,http://tong.visitkorea.or.kr/cms/resource/29/1575629_image2_1.jpg,
장곶돈대,인천광역시 강화군 화도면 장화리,032-930-7071,지자체 대표번호,37.62047931,126.3846197,http://tong.visitkorea.or.kr/cms/resource/68/1579268_image2_1.jpg,
적석사,인천광역시 강화군 내가면 연촌길 181,032-933-7848,개별 문의처,37.73741275,126.4109323,,
정수사(강화),인천광역시 강화군 화도면 해안남로1258번길 142,032-937-3611,개별 문의처,37.60716118,126.4462045,http://tong.visitkorea.or.kr/cms/resource/05/1577305_image2_1.jpg,
정족산,인천광역시 강화군 길상면 전등사로,032-930-3627,지자체 대표번호,37.63304316,126.49174,http://tong.visitkorea.or.kr/cms/resource/67/182967_image2_1.jpg,
종해루,인천광역시 강화군 길상면 전등사로 37-41 전등사,032-937-0125,개별 문의처,37.63215992,126.4844068,http://tong.visitkorea.or.kr/cms/resource/12/1575712_image2_1.jpg,
주문도,인천광역시 강화군 서도면 주문도1길 16,032-932-9819,지자체 대표번호,37.65039687,126.2391354,,
창후리선착장,인천광역시 강화군 하점면 창후로 320,032-930-4571,개별 문의처,37.77029673,126.3549985,,
책방시점,인천광역시 강화군 길상면 마니산로 101-16,,개별 문의처,37.63117495,126.4439685,,
천상병 귀천(歸天) 공원,인천광역시 강화군 양도면 건평리 889,032-930-3580,지자체 대표번호,37.68147381,126.3960739,http://tong.visitkorea.or.kr/cms/resource/39/2638539_image2_1.JPG,
철종외가,인천광역시 강화군 선원면 철종외가길 46-1,032-930-3621,지자체 대표번호,37.70468362,126.4761373,http://tong.visitkorea.or.kr/cms/resource/44/1577244_image2_1.jpg,
청련사(강화),인천광역시 강화군 강화읍 고비고개로188번길 112,032-933-3887,개별 문의처,37.74597423,126.4486731,http://tong.visitkorea.or.kr/cms/resource/62/1575662_image2_1.jpg,
초지대교,인천광역시 강화군 길상면,032-930-3114,지자체 대표번호,37.6416649,126.4892227,http://tong.visitkorea.or.kr/cms/resource/34/2742134_image2_1.jpg,
충렬사,인천광역시 강화군 선원면 충렬사로 232,032-930-7071,지자체 대표번호,37.7263388,126.4663316,,
티앤림자연휴양림,인천광역시 강화군 불은면 중앙로 546-34,032-937-4181,개별 문의처,37.70585704,126.4440845,http://tong.visitkorea.or.kr/cms/resource/90/2780690_image2_1.png,
프렌쥬랜드,인천광역시 강화군 길상면 보리고개로 166,032-937-8358,개별 문의처,37.62527741,126.4860926,http://tong.visitkorea.or.kr/cms/resource/01/2780701_image2_1.jpg,
하리선착장,인천광역시 강화군 삼산면 삼산북로 886,032-932-6002,개별 문의처,37.72840435,126.287582,,
해명산,인천광역시 강화군 삼산면 석포리 산 185,032-930-3627,지자체 대표번호,37.68042535,126.3509908,,추가연락가능번호 : 033-480-2230(양구군청)
화개사,인천광역시 강화군 교동면 교동남로 229-9,032-932-4140,개별 문의처,37.77089763,126.2972973,http://tong.visitkorea.or.kr/cms/resource/41/2780741_image2_1.png,
황산선착장,인천광역시 강화군 길상면 초지리,032-930-3562,지자체 대표번호,37.62939655,126.5217422,,
황청포구,인천광역시 강화군 내가면 황청포구로 492,032-932-2819,개별 문의처,37.71224182,126.3536824,,
후애돈대,인천광역시 강화군 길상면 선두리,032-930-7071,지자체 대표번호,37.61618189,126.4843047,,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
후포항 선수포구,인천광역시 강화군 화도면 해안남로2903번길,032-930-3562,지자체 대표번호,37.63941587,126.3948622,,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
가진항,강원특별자치도 고성군 죽왕면 가진해변길 121-12,033-680-3362,지자체 대표번호,38.36740739,128.5094725,,
가진해변,강원특별자치도 고성군 죽왕면 가진리 495-6,033-680-3362,지자체 대표번호,38.36604776,128.4965287,http://tong.visitkorea.or.kr/cms/resource/11/2607611_image2_1.jpg,
팔랑폭포,강원특별자치도 양구군 동면,033-480-2251,지자체 대표번호,38.20231664,128.0435,,
간성향교,강원특별자치도 고성군 간성읍 진부령로 2659,02-2658-9988,지자체 대표번호,38.37810526,128.4387672,http://tong.visitkorea.or.kr/cms/resource/60/738160_image2_1.jpg,
아야진항,강원특별자치도 고성군 토성면 아야진해변길 76,033-680-3362,지자체 대표번호,38.27188377,128.555639,,
거진11리해변,강원특별자치도 고성군 거진읍 거진리,033-680-3362,지자체 대표번호,38.44764887,128.4565232,http://tong.visitkorea.or.kr/cms/resource/38/2659838_image2_1.jpg,
거진1리해변,강원특별자치도 고성군 거진읍 거진1리,033-680-3362,지자체 대표번호,38.4524242,128.4628088,http://tong.visitkorea.or.kr/cms/resource/47/176147_image2_1.jpg,
거진등대해맞이공원,강원특별자치도 고성군 거진읍 거탄진로209번길 19,033-670-2233,지자체 대표번호,38.44891061,128.4643851,,
건봉사,강원특별자치도 고성군 거진읍 건봉사로 723,033-682-8100,개별 문의처,38.40225017,128.3799656,http://tong.visitkorea.or.kr/cms/resource/49/2659849_image2_1.jpg,
고성 문암리 유적,강원특별자치도 고성군 죽왕면 문암진리,033-680-3367,지자체 대표번호,38.30374949,128.5442209,,
고성 어명기 고택,강원특별자치도 고성군 죽왕면 봉수대길 131-7,033-680-3361,지자체 대표번호,38.31595499,128.5181115,,
고성 왕곡마을,강원특별자치도 고성군 왕곡마을길 41,033-631-2120,개별 문의처,38.3406179,128.4993066,http://tong.visitkorea.or.kr/cms/resource/92/2654792_image2_1.jpg,"추가연락가능번호 : 031-940-5282, 031-940-5283"
고성 제3기 현무암,강원특별자치도 고성군 토성면 뒷골길 60,033-680-3361,지자체 대표번호,38.2835651,128.5058487,http://tong.visitkorea.or.kr/cms/resource/03/2616503_image2_1.bmp,
고성 통일전망타워,강원특별자치도 고성군 현내면 금강산로 481,033-682-0088,개별 문의처,38.51441872,128.4166567,http://tong.visitkorea.or.kr/cms/resource/54/2599054_image2_1.jpg,
공현진1리해변,강원특별자치도 고성군 죽왕면,033-680-3362,지자체 대표번호,38.32875968,128.5252058,http://tong.visitkorea.or.kr/cms/resource/79/175279_image2_1.jpg,
공현진항,강원특별자치도 고성군 죽왕면 공현진리,033-680-3413,개별 문의처,38.35727077,128.4981875,,
교암리해수욕장,강원특별자치도 고성군 토성면 천학정길 39,033-680-3362,지자체 대표번호,38.29171435,128.5465315,http://tong.visitkorea.or.kr/cms/resource/54/2786854_image2_1.jpg,
교암항,강원특별자치도 고성군 토성면 교암리 151-10,033-680-3362,지자체 대표번호,38.28685728,128.5578657,,
교암해변,강원특별자치도 고성군 토성면,033-680-3362,지자체 대표번호,38.2572897,128.5589065,http://tong.visitkorea.or.kr/cms/resource/80/175280_image2_1.jpg,
극락암(강원),강원특별자치도 고성군 교동2길 26 대한불교조계종극락암,033-681-2095,개별 문의처,38.38052074,128.4395324,http://tong.visitkorea.or.kr/cms/resource/92/2494192_image2_1.jpg,
김일성 별장,강원특별자치도 고성군 거진읍 화진포길 280,033-680-3677,개별 문의처,38.47350063,128.441567,http://tong.visitkorea.or.kr/cms/resource/88/2713588_image2_1.jpg,
김하인 아트홀 국화꽃향기,강원특별자치도 고성군 죽왕면 자작도선사길 120-4,033-636-5679,개별 문의처,38.30957092,128.5424495,http://tong.visitkorea.or.kr/cms/resource/82/2372082_image2_1.JPG,
능파대 (강원평화지역 국가지질공원),강원특별자치도 고성군 죽왕면 괘진길 65,033-680-3332,지자체 대표번호,38.29640835,128.5499034,,
대진 등대,강원특별자치도 고성군 현내면 한나루로4길 16-38,033-682-0172,개별 문의처,38.50486637,128.4231733,http://tong.visitkorea.or.kr/cms/resource/00/1813600_image2_1.jpg,
대진1리해변,강원특별자치도 고성군 현내면 한나루로4길 1,033-680-3362,지자체 대표번호,38.50338118,128.4236379,http://tong.visitkorea.or.kr/cms/resource/83/175283_image2_1.jpg,
대진항,강원특별자치도 고성군 현내면 대진항길,033-680-3362,지자체 대표번호,38.49895279,128.4259126,,
아야진해변,강원특별자치도 고성군 토성면 아야진해변길 157,033-680-3362,지자체 대표번호,38.27651918,128.552761,,
델피노호텔&리조트 오션플레이,강원특별자치도 고성군 토성면 미시령옛길 1153,1588-4888,개별 문의처,38.21311628,128.4934404,http://tong.visitkorea.or.kr/cms/resource/99/1335499_image2_1.jpg,
도원리계곡,강원특별자치도 고성군 토성면 도원리 398-17,033-632-0923,지자체 대표번호,38.26697837,128.462112,,
마차진해변,강원특별자치도 고성군 현내면,033-680-3362,지자체 대표번호,38.49434166,128.4273092,http://tong.visitkorea.or.kr/cms/resource/82/483082_image2_1.jpg,
명파해변,강원특별자치도 고성군 현내면,033-680-3362,지자체 대표번호,38.49434166,128.4273092,http://tong.visitkorea.or.kr/cms/resource/82/483082_image2_1.jpg,
문암2리해변,강원특별자치도 고성군 죽왕면,033-680-3362,지자체 대표번호,38.32875968,128.5252058,http://tong.visitkorea.or.kr/cms/resource/79/175279_image2_1.jpg,
문암항,강원특별자치도 고성군 죽왕면 문암진리 134-88,033-680-3362,지자체 대표번호,38.30374949,128.5442209,http://tong.visitkorea.or.kr/cms/resource/91/2786491_image2_1.jpg,
미시령옛길 울산바위 은하수,강원특별자치도 고성군 토성면 원암리 산1,033-680-3677,지자체 대표번호,38.20496198,128.4786215,http://tong.visitkorea.or.kr/cms/resource/56/2792356_image2_1.jpg,
반암항,강원특별자치도 고성군 거진읍 자산천로 102-15,033-680-3362,지자체 대표번호,38.42819391,128.4583218,,
반암해변,강원특별자치도 고성군 거진읍,033-680-3362,지자체 대표번호,38.43613916,128.4525538,http://tong.visitkorea.or.kr/cms/resource/67/174967_image2_1.jpg,
백도항/문암1리항,강원특별자치도 고성군 죽왕면 문암항3길 26,033-680-3362,지자체 대표번호,38.30285915,128.5495259,http://tong.visitkorea.or.kr/cms/resource/03/2786503_image2_1.jpg,
백도해변,강원특별자치도 고성군 죽왕면 백도해변길 78,033-680-3362,지자체 대표번호,38.30184159,128.545239,http://tong.visitkorea.or.kr/cms/resource/96/1581396_image2_1.jpg,
백도해수욕장,강원특별자치도 고성군 죽왕면 문암진리 19,033-680-3362,지자체 대표번호,38.30249619,128.5461288,http://tong.visitkorea.or.kr/cms/resource/08/2947208_image2_1.jpg,
백섬해상전망대,강원특별자치도 고성군 거진읍 거진리,033-680-3114,지자체 대표번호,38.44764887,128.4565232,http://tong.visitkorea.or.kr/cms/resource/38/2659838_image2_1.jpg,
봉수대해변,강원특별자치도 고성군 죽왕면 오호리,033-680-3362,지자체 대표번호,38.32969671,128.5254679,http://tong.visitkorea.or.kr/cms/resource/07/1581407_image2_1.jpg,
봉포항,강원특별자치도 고성군 토성면 토성로 44-10,033-680-3362,지자체 대표번호,38.2542531,128.5628989,,
봉포해변,강원특별자치도 고성군 토성면,033-680-3362,지자체 대표번호,38.2572897,128.5589065,http://tong.visitkorea.or.kr/cms/resource/80/175280_image2_1.jpg,추가연락가능번호 : 033-480-2230(양구군청)
삼포해변,강원특별자치도 고성군 죽왕면 삼포해변길 15-4,033-680-3362,지자체 대표번호,38.31396946,128.5359715,http://tong.visitkorea.or.kr/cms/resource/13/1581413_image2_1.jpg,
소똥령마을,강원특별자치도 고성군 간성읍 소똥령마을길 82,1597-8596,개별 문의처,38.33178636,128.3803029,http://tong.visitkorea.or.kr/cms/resource/07/2567707_image2_1.jpg,
속초설악 삼포비치바이크 고성점,강원특별자치도 고성군 죽왕면 삼포해변길 9,,개별 문의처,38.31704543,128.5310817,http://tong.visitkorea.or.kr/cms/resource/33/2568633_image2_1.bmp,
송지호 해수욕장,강원특별자치도 고성군 죽왕면 심층수길 85,033-680-3362,지자체 대표번호,38.33110527,128.52646,http://tong.visitkorea.or.kr/cms/resource/98/1954198_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
송지호 해안 서낭바위,강원특별자치도 고성군 죽왕면,033-680-3361,지자체 대표번호,38.32875968,128.5252058,http://tong.visitkorea.or.kr/cms/resource/79/175279_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
송지호관망타워,강원특별자치도 고성군 죽왕면 동해대로 6021,033-680-3556,개별 문의처,38.33625251,128.5175602,http://tong.visitkorea.or.kr/cms/resource/14/2567714_image2_1.jpg,
오호항,강원특별자치도 고성군 죽왕면 오호리 29-46,033-680-3362,지자체 대표번호,38.32969671,128.5254679,,
울산바위촬영휴게소,강원특별자치도 고성군 토성면 미시령로 2653,033-636-8008,개별 문의처,38.20726592,128.4966971,,
육송정 홍교,강원특별자치도 고성군 토성면 해상리 1041,033-680-3360,지자체 대표번호,38.38667246,128.4089058,,
응봉,강원특별자치도 고성군 거진읍 화진포길 204-25,033-680-3114,지자체 대표번호,38.46869896,128.4446303,,
이덕균가옥,강원특별자치도 고성군 죽왕면 송지호로 198-12,031-957-2004,지자체 대표번호,38.33085244,128.4944374,,
