이름,주소,전화번호,위도,경도
카페마르베야(Cafe Marbella),인천광역시 강화군 화도면 해안남로 2677-21,032-937-0209,37.59142726,126.460678
카페 서온,인천광역시 강화군 길상면 해안남로 346,,37.60701974,126.5162647
이디야 김포호수초교점,"경기도 김포시 김포한강5로 385, 상가동 103호 (구래동, 호수마을 e편한세상아파트)",031-995-1050,37.64969668,126.6302738
빈스코러스,"경기도 김포시 김포한강11로 160, 1층 104호 (장기동)",031-982-5269,37.64730057,126.679538
달다방,"인천광역시 강화군 화도면 해안남로1691번길 43, 1층",,37.59319245,126.436529
PALETTE팔레트,"인천광역시 강화군 강화읍 강화대로 460, 홍세탁소",,37.74813464,126.4805485
시골농부,"인천광역시 강화군 길상면 해안남로619번길 21, 2동 1층",,37.59831554,126.4964472
바다보다,인천광역시 강화군 길상면 해안남로 116,,37.61783996,126.5347211
스타벅스 인천강화DT,"인천광역시 강화군 강화읍 강화대로 343, 스타벅스 1,2층",1522-3232,37.74268566,126.4916293
카페 펜슬,"인천광역시 강화군 강화읍 대월로 19, 1층",032-932-8101,37.74440837,126.4931528
궁전빵집,인천광역시 강화군 교동면 대룡안길54번길 26-1,,37.78215646,126.2803077
강화군장애인복지관 행복드림카페,인천광역시 강화군 강화읍 충렬사로 63,032-934-9606,37.73443203,126.4824926
1871 COFFEE,"인천광역시 강화군 화도면 해안남로 1871, 1층",,37.60661381,126.4212813
우트우트,"인천광역시 강화군 길상면 마니산로 12, 1~3층",,37.64215494,126.4905146
카페화실,"인천광역시 강화군 길상면 해안남로 118-24, 1층",,37.59142726,126.460678
달그락,"인천광역시 강화군 양도면 강화남로 990-1, 1층 1호",,37.65369251,126.4302017
카페베네 강화외포리점,"인천광역시 강화군 내가면 해안서로 1018, 2층",,37.70530886,126.3674578
GGBB,"인천광역시 강화군 송해면 전망대로57번길 48-6, 1층",032-934-0761,37.76947348,126.4588922
그린뉴,"인천광역시 강화군 강화읍 관청길55번길 10, 2층",,37.74930111,126.4830879
카페윙스,인천광역시 강화군 길상면 동검길63번길 78,032-937-4781,37.59028934,126.5196491
강만장,인천광역시 강화군 교동면 대룡안길54번길 26,,37.78189731,126.2809939
포도향기,인천광역시 강화군 양도면 중앙로1030번길 6,,37.70043558,126.4082447
PeakEnd,"인천광역시 강화군 강화읍 남문로 43, 1층",,37.74179119,126.4880281
말랑설기,"인천광역시 강화군 강화읍 갑룡길 99, 104호",,37.74426506,126.5033836
달스베이커리,"인천광역시 강화군 길상면 장흥로 217, 1층",032-930-9017,37.61712205,126.4981148
유어그린,"경기도 김포시 솔터로 22, 301동 238호 (구래동, 메트로타워 예미지)",,37.64542922,126.6308576
임종호커피 강화점,"인천광역시 강화군 송해면 강화대로 683, 1층 A호",,37.76124531,126.4658013
커피나이스,"경기도 김포시 사우중로 52, 1층 109호 (사우동, 아트프라자)",,37.61938882,126.7193894
바리인석모,"인천광역시 강화군 삼산면 삼산북로 390, 2동 1층",,37.70241917,126.3293023
오복상회,"인천광역시 강화군 길상면 전등사로77번길 51, 1층",,37.6327313,126.4876718
블랙이슈,"인천광역시 강화군 강화읍 동문안길 24, 1층",,37.74741847,126.487484
오루문,"인천광역시 강화군 교동면 대룡안길 35, 1층",,37.78250584,126.2814867
카페 866,"인천광역시 강화군 하점면 창후로 314-56, 2층",,37.76211383,126.3673781
이디야커피 강화동막점,"인천광역시 강화군 화도면 해안남로 1508, 승창프라자 301호",032-937-1175,37.5939295,126.4554051
아뚜드스윗,"인천광역시 강화군 강화읍 강화대로 456-14, 1층",032-932-5282,37.76211323,126.4657266
Red moon,인천광역시 강화군 하점면 고려산로 287,,37.76109632,126.4151397
카페더숲,인천광역시 강화군 길상면 해안동로 85,,37.63459369,126.5299552
희와래 커피로스터스,인천광역시 강화군 불은면 덕진로178번길 25-29,032-937-2534,37.65606441,126.5101603
카페빙고,"인천광역시 강화군 강화읍 동문안길 10-4, 1층",,37.74778329,126.4877595
카페 좋은날,인천광역시 강화군 불은면 중앙로 552,,37.71195093,126.4531292
Cafe 내가,인천광역시 강화군 내가면 고비고개로741번길 56-20,,37.7182103,126.4116481
투썸플레이스 화도점,인천광역시 강화군 화도면 해안남로 1812-3,,37.59142726,126.460678
이디야 강화길상점,"인천광역시 강화군 길상면 길상로 294, 1층 106호",,37.63739035,126.4943141
카페느린우체통,인천광역시 강화군 교동면 대룡안길54번길 9,,37.78105873,126.2807759
greedy,"인천광역시 강화군 강화읍 남문안길 19, 1층",,37.74522527,126.4844906
고려궁지카페,인천광역시 강화군 강화읍 북문길49번길 4,,37.75136764,126.484221
돌멘77,"인천광역시 강화군 하점면 강화대로 994-19, 강화역사박물관 1층",,37.76211323,126.4657266
봉당,인천광역시 강화군 길상면 강화동로 23-16,,37.68132896,126.4823677
난곳카페,인천광역시 강화군 교동면 교동서로340번길 116-19,,37.77428902,126.2380303
선물같은 나날,"인천광역시 강화군 강화읍 대월로 249-1, 1동",,37.76045482,126.4888594
딜라,"인천광역시 강화군 강화읍 남문로 70, 102호",,37.74419466,126.4875671
디비플라워카페,"인천광역시 강화군 강화읍 충렬사로 138, 5층",032-932-2500,37.73076379,126.4752634
쿠쿠카 커피,인천광역시 강화군 길상면 강화동로 211,,37.65804974,126.4930447
느긋,인천광역시 강화군 선원면 강화동로 859,,37.70954144,126.48238
어노인트 교동도점,인천광역시 강화군 교동면 교동남로 341-6,,37.77089763,126.2972973
카페 모아로(Cafe Moarro),"인천광역시 강화군 선원면 시리미로42번길 62-17, 1층",,37.72560124,126.4720063
아이언클래드 커피로스터스(IRONCLAD COFFEE ROASTERS),"인천광역시 강화군 강화읍 북문길 7, 1층",032-932-2887,37.74782607,126.4844685
스타 오,"인천광역시 강화군 불은면 강화동로 712, 1층",,37.69694536,126.4802198
세라젬 웰카페 H 인천강화점,인천광역시 강화군 강화읍 강화대로 396-6,,37.76211323,126.4657266
팔공티 강화점,"인천광역시 강화군 강화읍 강화대로404번길 4, 1층",,37.74626709,126.4868119
카페 연향,"인천광역시 강화군 길상면 까치골길 180, 1층",,37.67178146,126.4751466
1318coffee,인천광역시 강화군 하점면 강화대로 1318,,37.78128222,126.4050719
카페베리(CAFE BERRY),인천광역시 강화군 양사면 덕하로 4-5,,37.80731956,126.4257156
컴포즈 커피 강화점,"인천광역시 강화군 강화읍 강화대로 423-1, 1층",,37.76211323,126.4657266
세븐일레븐강화갑룡길점,"인천광역시 강화군 강화읍 갑룡길 39, 세븐일레븐강화갑룡길점",032-934-1973,37.74266025,126.4973215
세븐일레븐강화길상점,인천광역시 강화군 길상면 해안남로 92,032-937-4423,37.61933299,126.5344059
희소식,인천광역시 강화군 선원면 중앙로413번길 6,,37.71424497,126.4679192
커피콩이발소,인천광역시 강화군 교동면 교동남로 11-6,,37.77089763,126.2972973
"Cafe,in(카페,인)","인천광역시 강화군 강화읍 강화대로 365-6, 2층",,37.76211323,126.4657266
플라워,"인천광역시 강화군 강화읍 시리미로 368, 1층",032-933-0623,37.73877071,126.4567081
강화군노인문화센터,"인천광역시 강화군 길상면 마니산로 36, 1층",,37.6425401,126.4871851
삼남피크닉,인천광역시 강화군 삼산면 어류정길 195,,37.65325279,126.337448
RODEM cafe(로뎀카페),"인천광역시 강화군 강화읍 갑룡길 89, 지호빌딩 103호",,37.74393662,126.5025407
카페 젤코바,"인천광역시 강화군 길상면 해안동로 118, 103호",,37.63688368,126.5282099
선두리,"인천광역시 강화군 길상면 해안남로 934, 1층",,37.61886082,126.4752205
카페모카,"인천광역시 강화군 길상면 해안남로117번길 47, 황산도관광벨트어시장 1층 112호",,37.61809776,126.5403389
인천상회,인천광역시 강화군 삼산면 삼산남로604번길 6-7,,37.67613204,126.3374554
몬토커피,인천광역시 강화군 길상면 해안남로 368,,37.60559147,126.5149832
아이스빈 강화읍점,"인천광역시 강화군 강화읍 중앙로 68, 2층 202호",,37.73823941,126.4871142
SilkRoad(실크로드),인천광역시 강화군 선원면 선원사지로 98,,37.72435063,126.5036561
카페바다,"인천광역시 강화군 서도면 주문도길 274-21, 1층",,37.64499917,126.2479122
강화까까,인천광역시 강화군 불은면 덕진로 159,,37.6528638,126.5106391
뜰애,인천광역시 강화군 양도면 강화남로 938,032-937-9778,37.68015778,126.419106
매화마름,"인천광역시 강화군 길상면 길상로25번길 28, 1동 1층",,37.63520725,126.5194184
카페갈릴리,인천광역시 강화군 화도면 해안남로 1537,032-937-0063,37.59377377,126.4523606
모니카의정원,인천광역시 강화군 화도면 해안남로 2435-1,032-937-8766,37.59142726,126.460678
해미래,인천광역시 강화군 불은면 해안동로 331-13,032-937-6296,37.6802345,126.5174777
토담,인천광역시 강화군 선원면 시리미로142번길 43-11,,37.72908717,126.4653929
허밍웨이,인천광역시 강화군 하점면 고려산로61번길 41,032-933-3061,37.76372078,126.4392317
빨간코 네모,인천광역시 강화군 강화읍 관청길 12,032-932-7766,37.74859115,126.48856
욜로(YOLO) 한모금 로스팅하우스,인천광역시 강화군 화도면 해안남로 1204,,37.60878209,126.4567602
헐소 1037-1,"인천광역시 강화군 선원면 해안동로 1037-1, 1층,2층",032-934-1037,37.6802345,126.5174777
GS25강화베리점,인천광역시 강화군 양도면 중앙로 762,032-937-6989,37.70066634,126.4348412
그루브잇,인천광역시 강화군 강화읍 남문로 56,,37.74295484,126.4878346
마에스트로(MAESTRO),인천광역시 강화군 길상면 길상로 269,,37.63526432,126.4947788
문화공간 조나단,인천광역시 강화군 길상면 동검길63번길 60,070-7784-7557,37.59130952,126.5183881
차 담,인천광역시 강화군 내가면 해안서로 1043,032-933-9733,37.70467225,126.3646777
카페테리아Ⅱ,"인천광역시 강화군 강화읍 중앙로 43, 1층",,37.73977668,126.4904067
도레도레,"인천광역시 강화군 화도면 해안남로1844번길 19, 지하~1층",032-937-1415,37.60685027,126.4249768
영인팜,"인천광역시 강화군 양도면 중앙로 979, 2층",,37.69923411,126.4130691
들애핀매화,"인천광역시 강화군 길상면 장촌길 99, 1층",032-937-5975,37.65122786,126.4836811
플래그닷(FLAG.),"인천광역시 강화군 길상면 보리고개로 159, 1층",,37.6257447,126.4855244
강화이야기투어 주식회사,"인천광역시 강화군 강화읍 북문길 23, 1층",032-934-2628,37.74905056,126.4847563
핑크래빗,경기도 연천군 전곡읍 평화로 557,,38.02022006,127.0671821
커피 모퉁,"인천광역시 강화군 강화읍 동문로 9, 1층",,37.74578567,126.4884601
카페다,"인천광역시 강화군 강화읍 갑룡길 50, 1층",,37.74238852,126.4982302
풍누리카페,"인천광역시 강화군 강화읍 중앙로 17-9, 1층 1164호",,37.70585704,126.4440845
고양이다방,"인천광역시 강화군 하점면 강화서로 627, 1층",,37.7496142,126.3875091
로뎀트리,"인천광역시 강화군 길상면 해안남로 695, 1,2층",032-937-0230,37.60177069,126.488148
커피퀸,인천광역시 강화군 교동면 대룡안길22번길 17 (1층),032-932-5272,37.78292957,126.2800871
엣홈,인천광역시 강화군 강화읍 강화대로 458 (1층),032-932-8996,37.74811594,126.4809045
버드카페,"인천광역시 강화군 강화읍 신문길44번길 5, 1층",,37.74525906,126.4830711
카페거기,"인천광역시 강화군 화도면 해안남로1134번길 3, 1층",,37.61506189,126.4552312
도마위,인천광역시 강화군 화도면 해안남로 2855,,37.63837325,126.3928584
들,"인천광역시 강화군 강화읍 향나무길22번길 13, 1층",032-933-7992,37.7459043,126.4783407
바그다드강화읍점,"인천광역시 강화군 강화읍 남산길 7, 1층",032-932-5156,37.74653122,126.4842654
별밭,"인천광역시 강화군 양도면 중앙로 950-1, 1층",,37.70585704,126.4440845
빽다방 인천강화중앙점,"인천광역시 강화군 강화읍 강화대로 396, 1층 101호",,37.74580213,126.487377
예닮카페,"인천광역시 강화군 강화읍 갑룡길206번길 66, 4동 3층",,37.74668442,126.5194039
그곳카페,"인천광역시 강화군 교동면 대룡안길54번길 11, 1층",032-932-8383,37.7812077,126.2809157
민머루잼머펜션,"인천광역시 강화군 삼산면 어류정길198번길 6, 1층",032-937-2900,37.65369922,126.3364696
마호가니 강화점,"인천광역시 강화군 화도면 해안남로1844번길 19, 3동 1층~2층",070-5099-3758,37.60685027,126.4249768
카페399마켓(cafe399market),"인천광역시 강화군 화도면 마니산로675번길 8, 1층",,37.63299085,126.4230986
DY스퀘어카페,"인천광역시 강화군 화도면 마니산로 453, 1층",,37.63059939,126.4445393
다시올,"인천광역시 강화군 길상면 장흥로101번길 30, 2동 1층",,37.61278982,126.5101302
GS25강화길상점,"인천광역시 강화군 길상면 길상로 315, 1층",,37.63904983,126.4926305
주식회사 조양방직,"인천광역시 강화군 강화읍 향나무길5번길 12, 1층",032-933-2193,37.74677876,126.4809708
블랙펄커피,"인천광역시 강화군 길상면 해안동로 40-2, 1층",,37.6802345,126.5174777
카페디바인,"인천광역시 강화군 선원면 해안동로 1009, 1층",,37.70580379,126.517495
크리스투유오디아,"인천광역시 강화군 강화읍 북문길 10, 1층",,37.74797745,126.4847838
카페더뷰인갤러리,인천광역시 강화군 화도면 해안남로 1525 (1층),032-937-2340,37.59385544,126.4531258
라이스봉봉,"인천광역시 강화군 강화읍 강화대로248번길 28-2, 1층",032-933-1119,37.74214114,126.5022739
아로니움카페,"인천광역시 강화군 삼산면 삼산남로 85-9, 1층",,37.67364385,126.3381127
브아(VOIE),"인천광역시 강화군 길상면 동검길63번길 44, 1층~2층",,37.59259507,126.517468
탐앤탐스(강화씨사이드리조트점)클럽하우스1층,"인천광역시 강화군 길상면 장흥로 217, 클럽하우스 1층",032-930-9030,37.61712205,126.4981148
이디야 인천강화점,"인천광역시 강화군 강화읍 강화대로 392, 1층,2층",,37.74551694,126.4876366
탐앤탐스(강화씨사이드리조트점)전망대1층,"인천광역시 강화군 길상면 장흥로 217, 전망대 1층",,37.61712205,126.4981148
긱스타PC카페,"인천광역시 강화군 강화읍 강화대로404번길 4, 지하1층",,37.74626709,126.4868119
커카인,"인천광역시 강화군 강화읍 강화대로 396-6, 1층",,37.76211323,126.4657266
노을다방,"인천광역시 강화군 화도면 해안남로 1482, 1층",,37.59306738,126.4582709
전들재,"인천광역시 강화군 양사면 인화로 416, 2층",,37.78715934,126.3557061
Cafe 410 (카페 410),인천광역시 강화군 내가면 중앙로 1282,,37.70304196,126.3817441
빵카페,"인천광역시 강화군 화도면 해안남로 1538, 1층",,37.59421221,126.452132
하우스 하일,인천광역시 강화군 양도면 강화남로769번길 79,,37.66358999,126.4113678
지에스25(GS25)강화산단점,"인천광역시 강화군 강화읍 강화산단로73번길 21, GS25",,37.76567779,126.5007621
다리쉼,인천광역시 강화군 길상면 해안남로 579,,37.59817081,126.5000007
황작가커피,"인천광역시 강화군 하점면 창후로 314-2, 1층",032-932-5367,37.76211383,126.3673781
카페 3시15분,인천광역시 강화군 강화읍 남문안길 13,,37.74504461,126.4851048
지에스(GS)25강화남문점,인천광역시 강화군 강화읍 남문로 49,,37.74224277,126.4876797
미꾸지카페,인천광역시 강화군 내가면 강화서로 494,,37.73902506,126.3863429
요기가(YOGIGA),"인천광역시 강화군 강화읍 강화산단로 178, 1층 108호",,37.76352486,126.4981532
코스모프2,"인천광역시 강화군 불은면 강화동로 403, 나동 지하1층, 1층",032-937-6920,37.67414288,126.4873082
교동숲,"인천광역시 강화군 교동면 교동동로438번길 27-22, 1,2층",,37.79197236,126.2857135
봄봄스(봄봄's),"인천광역시 강화군 강화읍 향나무길22번길 11, 1층",,37.74610462,126.4783699
프란쓰,인천광역시 강화군 선원면 선원사지로51번길 16,,37.72354991,126.508702
스카이락,인천광역시 강화군 길상면 해안남로 331-2,032-937-5071,37.59142726,126.460678
카페미스김,인천광역시 강화군 선원면 중앙로 394,,37.7157187,126.470005
I+YOU,인천광역시 강화군 길상면 마니산로 92,,37.63887016,126.4825852
카페쿠나,인천광역시 강화군 내가면 해안서로 948-4,,37.68183844,126.3954949
고고미술갤러리(더카페),"인천광역시 강화군 강화읍 동문안길45번길 2, 가동 1,2층",,37.74888745,126.4894901
윤날,"인천광역시 강화군 강화읍 관청길 52, 1층",,37.74947618,126.4844093
K131,"인천광역시 강화군 화도면 해안남로1691번길 43-8, 1층",,37.59461853,126.4352114
까페마인,"인천광역시 강화군 양도면 강화남로 667, 3층",,37.65990707,126.4238994
풀내음카페,인천광역시 강화군 양도면 강화남로 666,,37.66007398,126.4246292
연강갤러리 카페테리아,경기도 연천군 중면 군중로 885,,38.11788266,126.9871144
메가엠지씨커피 연천전곡점,경기도 연천군 전곡읍 전곡로 158,,38.02626198,127.0683647
뮤토,"경기도 연천군 전곡읍 은전로78번길 26, 2층",,38.02718869,127.0686464
로이(Roi),경기도 연천군 전곡읍 전곡로164번길 11-16,,38.0268732,127.0687842
세상의 모든 아침,경기도 연천군 장남면 장백로 254,,37.9826906,126.8849096
카페 모넬로,"경기도 연천군 전곡읍 은전로86번길 71, 1층",031-833-5982,38.02548767,127.0704521
(재)경기문화재단전곡선사박물관,"경기도 연천군 전곡읍 평화로443번길 2, 전곡선사박물관",031-830-5635,38.01069498,127.0616575
커피빈스(전곡점),"경기도 연천군 전곡읍 은전로78번길 28 (,460-3 1층)",031-832-2344,38.02711803,127.0686947
"커피, 이다",경기도 연천군 전곡읍 전곡로 154 (1층),,38.02596982,127.0685108
블리스버거 연천점,경기도 연천군 군남면 청정로 2281,031-832-3863,38.02991439,127.0390535
이디아전곡역점,경기도 연천군 전곡읍 전곡로 156,031-832-0095,38.02607543,127.068469
큐호텔커피숍,경기도 파주시 탄현면 샘철길 22 (지하1층),031-945-8771,37.78874451,126.6888771
런트랙,경기도 연천군 연천읍 문화로 161,,38.10797354,127.0789917
아침해,경기도 연천군 백학면 두백로 36,031-835-7006,38.03240989,126.9135626
"꽃핀다,방","경기도 연천군 전곡읍 전곡역로 2, 1층",031-835-8820,38.02178494,127.0636715
세모카페,"경기도 연천군 군남면 군남로 417, 1층",,38.08518847,127.0190682
플랫하우스,경기도 연천군 청산면 아우라지길 57-24,,38.03700362,127.1133564
카페리,"경기도 연천군 전곡읍 밤골로 14-3, 로하스빌 102호",,38.01908942,127.0727554
플로리안 카페,경기도 연천군 전곡읍 양연로 1591-15,031-832-3586,37.98856277,127.0153156
카도쉬,"경기도 연천군 연천읍 문화로 150, 연천문화체육회관 아동 (외2필지)",031-834-0308,38.10714087,127.0797254
콩줌,경기도 연천군 군남면 군남로 568,031-833-0770,38.09771606,127.0243833
허브빌리지,경기도 연천군 왕징면 북삼로20번길 55,031-833-1811,38.0887061,127.004881
2층커피집,경기도 파주시 청석로 272 (동패동),031-947-1977,37.72614467,126.7178039
펀구공카페 야당점,경기도 파주시 하우고개길 84 (야당동),031-942-6567,37.70984121,126.7638052
커피빈스,경기도 연천군 연천읍 연천로 296-1,,38.09483197,127.0737681
GS25 전곡중앙점,경기도 연천군 전곡읍 전곡로 144-1,,38.02258764,127.0706617
가드닝 카페 온실,경기도 연천군 전곡읍 은전로91번길 26,,38.02984979,127.0693422
설빙,경기도 연천군 전곡읍 전곡로 145,031-832-6040,38.02507883,127.0686168
카페 531,경기도 연천군 전곡읍 평화로 531,,38.01781322,127.0692306
까라솔 투,"경기도 연천군 연천읍 연천로 217, 나동 1층",,38.09631655,127.0738318
트윈스,경기도 파주시 탄현면 웅지로144번길 73 (웅지세무대학 C동 구내식당 지하1층),031-941-0314,37.81875478,126.7357045
다빈카페,"경기도 연천군 청산면 청신로 93, 1층",,37.98311636,127.0692307
카페 콩피,경기도 연천군 청산면 평화로 335,,38.00183604,127.0663338
알멕스랜드,경기도 연천군 왕징면 왕산로218번길 61,,38.07310643,127.0070102
코밀카페,경기도 연천군 미산면 청정로1707번길 2,,38.05187266,127.0104648
랩도그빌,경기도 연천군 청산면 청창로200번길 33,,38.00817707,127.0882293
탐스피씨카페,"경기도 파주시 적성면 솥뒤로 30, 1층",,37.95657271,126.9168833
에그드랍(김포구래점),"경기도 김포시 김포한강9로 80, 다온프라자 1층 107호 (구래동)",,37.64412335,126.6260532
카페로맨틱코,"경기도 김포시 모담공원로 184, 2층 전체호 (운양동)",,37.64697318,126.6980263
hollys coffee(할리스커피) 김포지식산업센터점,"경기도 김포시 태장로795번길 145, 호텔아쎔 1층 일부호 (장기동)",031-997-3230,37.64041234,126.6843656
공차 파주교하점,"경기도 파주시 청석로 260, 트리플메디칼타워 1층 115호 (동패동)",,37.725103,126.7177384
우떡분식&커피,"경기도 파주시 문발로 141, 까뜨리느뮤즈 105호 일부 (문발동)",,37.70706269,126.6857546
AURA STUDIO COFFEE(오라스튜디오커피),"경기도 김포시 김포한강1로 247, 김포운양헤리움타운 3층 311호 (운양동)",,37.65426783,126.6848191
글로리아(Gloria),"경기도 파주시 교하로 581, 1,2층 (동패동)",031-949-2457,37.7071581,126.7144843
애지중지애견카페,"경기도 파주시 청암로17번길 35, 라온프라자 201호 (목동동)",031-944-2212,37.72908582,126.7361358
카페게이트 파주운정산내마을점,"경기도 파주시 청암로17번길 35, 라온프라자 102호 (목동동)",,37.72908582,126.7361358
미엘케이크(miL cake),"경기도 김포시 김포한강3로 290-16, 상가동 1층 106호 (장기동, 고창마을 이니스더원)",,37.64256179,126.657267
카르페디엠,경기도 연천군 백학면 노아로 252,031-866-1145,37.98810067,126.9460695
빽다방 김포풍무역점,"경기도 김포시 유현로238번길 31, 웅신타워 1층 114호 (풍무동)",,37.61139704,126.7328464
솔카롱,"경기도 김포시 김포한강4로 507, 1층 120호 (구래동)",,37.6461192,126.6275368
까페인연1호점,"경기도 김포시 통진읍 마송1로16번길 40-2, 김포시북부노인복지관 1층 일부호",031-984-0108,37.68372371,126.6062425
지금여기에-김포시장애인복지관 카페2호점,"경기도 김포시 김포한강2로 42, 장기도서관 4층 일부호 (장기동)",070-7327-4104,37.64179461,126.6765436
마루카페,경기도 연천군 전곡읍 선사로 456,,38.02984332,127.0726044
리오차드38(LEE ORCHARD38),"경기도 파주시 적성면 어삼로 161-5, 1층 일부, 2층전체",031-958-1615,37.99967454,126.9807389
메가엠지씨커피 금촌역점,"경기도 파주시 중앙로 330, 1층 (금촌동)",,37.76498259,126.7742823
수우스,"경기도 김포시 김포한강1로98번길 17-88, 1층 101호 (장기동)",,37.64530841,126.6731324
헤이헤이,경기도 파주시 평화로 380 (검산동),,37.774583,126.7407906
아마스빈 김포구래점,"경기도 김포시 김포한강9로 80, 105호 (구래동)",,37.64412335,126.6260532
초이카페,"경기도 파주시 하우3길 6, 동보하임 202동 102호 일부 (야당동)",,37.7187875,126.771583
메가엠지씨커피 김포운양점,"경기도 김포시 김포한강11로 288-27, 한강프라자 109호, 110호 (운양동)",,37.65380554,126.6775181
하이오커피 파주우미린점,"경기도 파주시 해올로 11, 상가2동 105호 (다율동, 해오름마을11단지 우미린 더퍼스트)",,37.73389688,126.7285487
오케키,"경기도 파주시 산내로7번길 7-2, 1층 (목동동)",,37.72265211,126.7399163
디저트달콤양,"경기도 파주시 가람로21번길 7-16, 1층 일부 (와동동)",,37.73560644,126.752224
메가엠지씨커피 운정해오름마을점,"경기도 파주시 해올1길 7, 하모니타워 108호 (다율동)",,37.7338782,126.7299861
오라니카페,"경기도 김포시 양촌읍 양곡1로56번길 21, 1층 일부호",,37.65640818,126.6240967
지조커피,"경기도 김포시 통진읍 김포대로2230번길 13-10, 1층 일부호",,37.69035871,126.598751
축복이네손모찌전문점,"경기도 김포시 김포한강1로78번길 61-44, 1층 (장기동)",031-998-4798,37.64404298,126.6714768
크로플덕오리아가씨 김포구래점,"경기도 김포시 김포한강9로12번길 97-8, 1층 102호 (구래동)",,37.63965812,126.6291734
폴라프커피,"경기도 파주시 탄현면 헤이리마을길 93-102, 1층",,37.78809894,126.69811
댄싱컵 파주운정점,"경기도 파주시 해올1길 12, SD드림스퀘어 1층 101호 (다율동)",,37.73359908,126.7295142
전곡 293,"경기도 연천군 전곡읍 전곡역로 31-5, 1동",,38.02369219,127.0688083
카페아토,"경기도 김포시 양촌읍 황금산단2로 28, 1층 13호",,37.60500842,126.6049378
카페샌도치(cafe sandochi),"경기도 김포시 고촌읍 수기로 136, 501동 115호 (캐슬앤파밀리에시티 2단지)",,37.59482587,126.7592166
타레트(ttalett),"경기도 김포시 김포한강11로140번길 105, 1층 2호 (운양동)",,37.64782566,126.6827728
오티움,"경기도 파주시 탄현면 헤이리마을길 93-127, 나동 3층",,37.78809894,126.69811
해피스버터(HAPPY'S BUTTER),"경기도 파주시 청암로 82, 근생1동 111호 (다율동, 운정신도시 푸르지오 파르세나)",,37.73528319,126.7339178
스타벅스 김포통진DT점,"경기도 김포시 통진읍 김포대로 2026, 1~2층",1522-3232,37.68304164,126.6193766
투썸플레이스 김포초당마을점,"경기도 김포시 김포한강2로 76, 프레즌스빌딩 1층 107,108,109,110호 (장기동)",,37.63927323,126.6747114
커피커피,"경기도 파주시 탄현면 방촌로 1071, 1층 4호일부",,37.82629667,126.7389363
홍당(HONGDANG),"경기도 김포시 하성면 월하로860번길 21-8, 1동 1층",,37.70328712,126.6471361
더벤티 김포장기중점,"경기도 김포시 청송로 8, 1동 105호 (장기동)",,37.64695286,126.6653177
카홀릭,"경기도 김포시 양촌읍 양곡로449번길 58, 1,2층",,37.6568508,126.6325228
고망고 김포사우점,"경기도 김포시 사우중로 78, 밀레니엄프라자 106호 (사우동)",,37.62133809,126.7209071
배달비 무료카페(BEMU),"경기도 파주시 문산읍 문산로26번길 13, 101동 1층 3-12호 (문산호수아파트)",,37.85672838,126.7829592
